"codeGeo","label"
"33000","BORDEAUX"
"33110","LE BOUSCAT"
"33112","ST LAURENT MEDOC"
"33113","ST SYMPHORIEN"
"33114","LE BARP"
"33120","ARCACHON"
"33121","CARCANS"
"33123","LE VERDON SUR MER"
"33124","AUROS"
"33125","HOSTENS"
"33126","FRONSAC"
"33127","MARTIGNAS SUR JALLE"
"33130","BEGLES"
"33133","GALGON"
"33138","LANTON"
"33140","VILLENAVE D ORNON"
"33141","VILLEGOUGE"
"33150","CENON"
"33160","ST MEDARD EN JALLES"
"33170","GRADIGNAN"
"33180","ST ESTEPHE"
"33185","LE HAILLAN"
"33190","LA REOLE"
"33210","LANGON"
"33220","PINEUILH"
"33230","COUTRAS"
"33240","ST ANDRE DE CUBZAC"
"33250","PAUILLAC"
"33260","LA TESTE DE BUCH"
"33270","FLOIRAC"
"33290","BLANQUEFORT"
"33310","LORMONT"
"33320","EYSINES"
"33330","ST EMILION"
"33340","LESPARRE MEDOC"
"33350","CASTILLON LA BATAILLE"
"33360","CARIGNAN DE BORDEAUX"
"33370","ARTIGUES PRES BORDEAUX"
"33380","BIGANOS"
"33390","BLAYE"
"33400","TALENCE"
"33410","CADILLAC"
"33420","GENISSAC"
"33430","BAZAS"
"33440","AMBARES ET LAGRAVE"
"33450","ST LOUBES"
"33460","MACAU"
"33470","GUJAN MESTRAS"
"33480","CASTELNAU DE MEDOC"
"33490","ST MACAIRE"
"33500","LIBOURNE"
"33510","ANDERNOS LES BAINS"
"33520","BRUGES"
"33530","BASSENS"
"33540","SAUVETERRE DE GUYENNE"
"33550","LANGOIRAN"
"33560","CARBON BLANC"
"33570","MONTAGNE"
"33580","MONSEGUR"
"33590","ST VIVIEN DE MEDOC"
"33600","PESSAC"
"33610","CESTAS"
"33620","LARUSCADE"
"33640","PORTETS"
"33650","LA BREDE"
"33660","ST SEURIN SUR L ISLE"
"33670","CREON"
"33680","LACANAU"
"33690","GRIGNOLS"
"33700","MERIGNAC"
"33710","BOURG"
"33720","PODENSAC"
"33730","NOAILLAN"
"33740","ARES"
"33750","ST GERMAIN DU PUCH"
"33760","TARGON"
"33770","SALLES"
"33780","SOULAC SUR MER"
"33790","PELLEGRUE"
"33810","AMBES"
"33820","ST CIERS SUR GIRONDE"
"33830","BELIN BELIET"
"33840","CAPTIEUX"
"33850","LEOGNAN"
"33860","REIGNAC"
"33870","VAYRES"
"33880","ST CAPRAIS DE BORDEAUX"
"33890","GENSAC"
"33910","ST DENIS DE PILE"
"33920","ST SAVIN"
"33930","VENDAYS MONTALIVET"
"33950","LEGE CAP FERRET"
"33980","AUDENGE"
"33990","HOURTIN"
